id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,token drift,79,69,20,38,383,ship,baseline,monotonic-signal
g002,grammar width,105,43,36,81,472,ship,edge,drag-penalty
g003,label quality,34,33,45,95,174,watch,recovery,confidence-floor
g004,error locality,90,30,9,75,447,ship,negative,lane-boundary
g005,token drift,77,66,35,70,374,ship,baseline,monotonic-signal
g006,grammar width,30,52,28,72,188,watch,edge,drag-penalty
g007,label quality,54,12,26,77,253,ship,recovery,confidence-floor
g008,error locality,114,30,27,84,516,ship,negative,lane-boundary
g009,token drift,59,41,29,92,311,ship,baseline,monotonic-signal
g010,grammar width,79,49,31,58,361,ship,edge,drag-penalty
g011,label quality,49,21,13,45,236,ship,recovery,confidence-floor
g012,error locality,81,44,5,43,401,ship,negative,lane-boundary
g013,token drift,101,58,43,47,423,ship,baseline,monotonic-signal
g014,grammar width,70,33,23,53,320,ship,edge,drag-penalty
g015,label quality,102,23,36,61,420,ship,recovery,confidence-floor
g016,error locality,34,55,44,26,129,watch,negative,lane-boundary
g017,token drift,47,39,7,56,269,ship,baseline,monotonic-signal
g018,grammar width,57,33,32,76,273,ship,edge,drag-penalty
g019,label quality,110,68,4,47,547,ship,recovery,confidence-floor
g020,error locality,96,53,34,37,406,ship,negative,lane-boundary
g021,token drift,92,48,29,80,438,ship,baseline,monotonic-signal
g022,grammar width,50,13,7,94,293,ship,edge,drag-penalty
g023,label quality,32,68,19,74,232,ship,recovery,confidence-floor
g024,error locality,71,63,5,69,406,ship,negative,lane-boundary
g025,token drift,94,75,21,71,480,ship,baseline,monotonic-signal
g026,grammar width,109,71,30,76,523,ship,edge,drag-penalty
g027,label quality,76,72,36,83,387,ship,recovery,confidence-floor
g028,error locality,107,40,20,91,519,ship,negative,lane-boundary
g029,token drift,82,61,13,57,420,ship,baseline,monotonic-signal
g030,grammar width,73,74,11,44,388,ship,edge,drag-penalty
g031,label quality,72,48,12,42,354,ship,recovery,confidence-floor
g032,error locality,32,38,14,46,184,watch,negative,lane-boundary
g033,token drift,58,35,16,52,287,ship,baseline,monotonic-signal
g034,grammar width,75,71,40,60,351,ship,edge,drag-penalty
g035,label quality,43,57,32,25,190,ship,recovery,confidence-floor
g036,error locality,30,17,28,55,136,watch,negative,lane-boundary
g037,token drift,71,35,8,75,378,ship,baseline,monotonic-signal
g038,grammar width,95,46,21,46,430,ship,edge,drag-penalty
g039,label quality,67,54,29,36,300,ship,recovery,confidence-floor
g040,error locality,100,26,34,79,437,ship,negative,lane-boundary
g041,token drift,32,49,17,93,236,ship,baseline,monotonic-signal
g042,grammar width,90,63,31,73,434,ship,edge,drag-penalty
g043,label quality,34,38,19,68,204,ship,recovery,confidence-floor
g044,error locality,54,28,14,70,286,ship,negative,lane-boundary
g045,token drift,111,60,34,75,511,ship,baseline,monotonic-signal
g046,grammar width,55,44,4,82,338,ship,edge,drag-penalty
g047,label quality,75,38,32,90,364,ship,recovery,confidence-floor
g048,error locality,88,73,6,56,469,ship,negative,lane-boundary
g049,token drift,98,58,15,43,463,ship,baseline,monotonic-signal
g050,grammar width,63,53,21,41,304,ship,edge,drag-penalty
g051,label quality,49,18,5,45,249,ship,recovery,confidence-floor
